ISO,CL_corr
AGO,1.1927025157419626
ALB,1.6001624434496395
ARG,0.19467687165168218
AUS,1.1488962461433823
AUT,0.9221598392261467
AZE,3.152449008378217
BEL,4.050645495302971
BEN,0.476449216783753
BFA,0.4902362049581095
BGD,1.7236955287912585
BGR,0.35149685959004034
BIH,12.899643245560824
BLZ,2.478197440083485
BOL,0.2765489666431772
BRA,0.18464699941122836
BWA,15.40996942673614
CAF,0.6365239438040485
CAN,0.3269015513600291
CHE,1.465465024616874
CHL,2.2043220656810485
CHN,0.5800462336220686
CIV,0.9508858775907776
CMR,0.7863423695468106
COL,0.6881523039903884
CRI,0.7353153192618447
CYP,1.173718494201529
CZE,0.5406234030704805
DEU,0.8851481245183601
DNK,1.4413936904358189
DOM,1.6603676637253797
DZA,1.9682012077776427
ECU,0.7787779454282462
EGY,1.5028335558280632
ESP,0.5099411120910127
FJI,9.426549074620599
FRA,0.83692489663695
GAB,1.2753202977520608
GBR,0.9707052426886082
GEO,5.8967017498768115
GHA,0.8090468365310816
GIN,0.3684028222939116
GMB,0.39103162218016274
GNB,0.8529990239666084
GRC,0.27460738643210203
GTM,0.40922461995806136
GUY,6.617189388983299
HND,0.9283490025737351
HRV,0.5275922538475751
HTI,2.123094524973228
HUN,0.45746513328298033
IDN,0.37169236473243206
IND,0.4775693524426748
IRL,4.714828502996275
IRN,5.098742101508563
ISR,0.9647716438629914
ITA,0.5460539702905676
JOR,0.4945969027294234
JPN,2.369254554605056
KAZ,1.006649804495689
KEN,2.5461164266238687
KGZ,3.206696185471068
KHM,1.8692256653047559
KNA,0.8920993282440814
KOR,1.2814130281681184
LAO,4.002662072772489
LBN,0.40896992849609093
LKA,0.3931092661692574
LTU,1.1681794335331743
LUX,2.2433164143636137
LVA,1.2215849485275723
MAR,0.8509062109646797
MDA,0.4890193224069306
MDG,1.366443115256266
MEX,3.0035222517059394
MKD,3.902174564437291
MLI,0.7496637352164495
MMR,0.38822777135660136
MWI,0.603655498309094
MYS,0.15763585270630304
NGA,0.41299290585583115
NIC,1.7323501690065437
NLD,3.1325265525715116
NOR,24.976571331212774
NPL,2.7751357474987506
PAK,1.3953615785234792
PAN,7.620488490682905
PER,4.959853116804739
PHL,0.2679997506348177
POL,1.2046712433828441
PRY,0.1297309585029544
ROU,0.5558353331189084
RUS,1.0748097121228255
RWA,1.7278636593195384
SDN,0.3808320178919015
SEN,0.3567495503018322
SLV,6.555430288942068
SRB,0.681098981202976
SVK,0.497860961346678
SVN,8.82342630806232
SWE,2.473058396733927
SWZ,2.8026518293736875
TCD,0.43701348036188037
TGO,1.3647754883889345
THA,2.0651245662237137
TUN,0.34907830616471464
TUR,1.2401585084884306
UGA,0.9169433694416866
UKR,0.3948322238031488
URY,0.17824216692579353
USA,0.4057835073280366
VCT,0.8834210909073216
VEN,2.248250590738363
VNM,1.4901903997428774
YEM,4.429920480951945
ZAF,0.9015600495735792
ZMB,0.6788727740531935
ZWE,1.1331371985872125
