ISO,Year,AIR
ALB,1994,195.0
ALB,1995,195.0
ALB,1996,195.0
ALB,1997,195.0
ALB,1998,195.0
ALB,1999,195.0
ALB,2000,195.0
ALB,2001,195.0
ALB,2002,195.0
ALB,2003,195.0
ALB,2004,195.0
ALB,2005,195.0
ALB,2006,195.0
ALB,2007,195.0
ALB,2008,118.0
ALB,2009,202.0
ALB,2010,204.5
ALB,2011,204.3
ALB,2012,204.7
ALB,2013,205.26
ALB,2014,149.8
ALB,2015,158.0
ALB,2016,169.0
ALB,2017,171.0
ALB,2018,176.0
ALB,2019,176.0
ALB,2020,176.0
ALB,2021,176.0
ALB,2022,176.0
ALB,2023,176.0
ALB,2024,176.0
ALB,2025,176.0
ALB,2026,176.0
ALB,2027,176.0
ALB,2028,176.0
ALB,2029,176.0
ALB,2030,176.0
ALB,2031,176.0
ALB,2032,176.0
ALB,2033,176.0
ALB,2034,176.0
ALB,2035,176.0
ALB,2036,176.0
ALB,2037,176.0
ALB,2038,176.0
ALB,2039,176.0
ALB,2040,176.0
ALB,2041,176.0
ALB,2042,176.0
ALB,2043,176.0
ALB,2044,176.0
ALB,2045,176.0
ALB,2046,176.0
ALB,2047,176.0
ALB,2048,176.0
ALB,2049,176.0
ALB,2050,176.0
AND,1990,0.0
AND,1991,0.0
AND,1992,0.0
AND,1993,0.0
AND,1994,0.0
AND,1995,0.0
AND,1996,0.0
AND,1997,0.0
AND,1998,0.0
AND,1999,0.0
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
AND,2020,0.0
AND,2021,0.0
AND,2022,0.0
AND,2023,0.0
AND,2024,0.0
AND,2025,0.0
AND,2026,0.0
AND,2027,0.0
AND,2028,0.0
AND,2029,0.0
AND,2030,0.0
AND,2031,0.0
AND,2032,0.0
AND,2033,0.0
AND,2034,0.0
AND,2035,0.0
AND,2036,0.0
AND,2037,0.0
AND,2038,0.0
AND,2039,0.0
AND,2040,0.0
AND,2041,0.0
AND,2042,0.0
AND,2043,0.0
AND,2044,0.0
AND,2045,0.0
AND,2046,0.0
AND,2047,0.0
AND,2048,0.0
AND,2049,0.0
AND,2050,0.0
ARB,1990,0.0
ARB,1991,0.0
ARB,1992,0.0
ARB,1993,0.0
ARB,1994,0.0
ARB,1995,0.0
ARB,1996,0.0
ARB,1997,0.0
ARB,1998,0.0
ARB,1999,0.0
ARB,2000,0.0
ARB,2001,0.0
ARB,2002,0.0
ARB,2003,0.0
ARB,2004,0.0
ARB,2005,0.0
ARB,2006,0.0
ARB,2007,0.0
ARB,2008,0.0
ARB,2009,0.0
ARB,2010,0.0
ARB,2011,0.0
ARB,2012,0.0
ARB,2013,0.0
ARB,2014,0.0
ARB,2015,0.0
ARB,2016,0.0
